Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level)
2024-08-20T11:43:17,996.00,28.00,-0.17,144.53,117
2024-08-20T11:43:18,996.00,27.99,-0.17,144.53,118
2024-08-20T11:43:19,996.00,27.99,-0.17,144.53,119
2024-08-20T11:43:20,996.00,27.99,-0.17,144.53,120
2024-08-20T11:43:21,997.00,28.00,-0.16,136.10,121
2024-08-20T11:43:22,996.00,27.99,-0.17,144.53,122
2024-08-20T11:43:23,996.00,28.00,-0.17,144.53,123
2024-08-20T11:43:24,997.00,28.00,-0.16,136.10,124
2024-08-20T11:43:25,996.00,28.01,-0.17,144.53,125
2024-08-20T11:43:26,996.00,28.01,-0.17,144.53,126
2024-08-20T11:43:27,997.00,28.01,-0.16,136.10,127
2024-08-20T11:43:28,996.00,28.02,-0.17,144.53,128
2024-08-20T11:43:29,996.00,28.02,-0.17,144.53,129
2024-08-20T11:43:30,996.00,28.02,-0.17,144.53,130
2024-08-20T11:43:31,996.00,28.02,-0.17,144.53,131
2024-08-20T11:43:32,996.00,28.03,-0.17,144.53,132
2024-08-20T11:43:33,997.00,28.03,-0.16,136.10,133
2024-08-20T11:43:34,996.00,28.03,-0.17,144.53,134
2024-08-20T11:43:35,997.00,28.03,-0.16,136.10,135
2024-08-20T11:43:36,996.00,28.03,-0.17,144.53,136
2024-08-20T11:43:37,997.00,28.04,-0.16,136.10,137
2024-08-20T11:43:38,997.00,28.05,-0.16,136.10,138
2024-08-20T11:43:39,997.00,28.04,-0.16,136.10,139
2024-08-20T11:43:40,996.00,28.04,-0.17,144.53,140
2024-08-20T11:43:41,996.00,28.05,-0.17,144.53,141
2024-08-20T11:43:42,997.00,28.05,-0.16,136.10,142
2024-08-20T11:43:43,997.00,28.06,-0.16,136.10,143
2024-08-20T11:43:44,996.00,28.05,-0.17,144.53,144
2024-08-20T11:43:45,996.00,28.06,-0.17,144.53,145
2024-08-20T11:43:46,997.00,28.06,-0.16,136.10,146
2024-08-20T11:43:47,996.00,28.07,-0.17,144.53,147
2024-08-20T11:43:48,997.00,28.07,-0.16,136.10,148
2024-08-20T11:43:49,996.00,28.08,-0.17,144.53,149
2024-08-20T11:43:50,996.00,28.09,-0.17,144.53,150
2024-08-20T11:43:51,996.00,28.10,-0.17,144.53,151
2024-08-20T11:43:52,997.00,28.10,-0.16,136.10,152
2024-08-20T11:43:53,997.00,28.11,-0.16,136.10,153
2024-08-20T11:43:54,997.00,28.11,-0.16,136.10,154
2024-08-20T11:43:55,997.00,28.12,-0.16,136.10,155
2024-08-20T11:43:56,997.00,28.13,-0.16,136.10,156
2024-08-20T11:43:57,997.00,28.13,-0.16,136.10,157
2024-08-20T11:43:58,997.00,28.14,-0.16,136.10,158
2024-08-20T11:43:59,997.00,28.14,-0.16,136.10,159
2024-08-20T11:44:00,997.00,28.14,-0.16,136.10,160
2024-08-20T11:44:01,996.00,28.15,-0.17,144.53,161
2024-08-20T11:44:02,997.00,28.16,-0.16,136.10,162
2024-08-20T11:44:03,997.00,28.17,-0.16,136.10,163
2024-08-20T11:44:04,997.00,28.17,-0.16,136.10,164
2024-08-20T11:44:05,997.00,28.19,-0.16,136.10,165
2024-08-20T11:44:06,997.00,28.19,-0.16,136.10,166
2024-08-20T11:44:07,997.00,28.19,-0.16,136.10,167
2024-08-20T11:44:08,997.00,28.20,-0.16,136.10,168
2024-08-20T11:44:09,997.00,28.20,-0.16,136.10,169
2024-08-20T11:44:10,997.00,28.20,-0.16,136.10,170
2024-08-20T11:44:11,997.00,28.21,-0.16,136.10,171
2024-08-20T11:44:13,997.00,28.21,-0.16,136.10,172
2024-08-20T11:44:14,997.00,28.21,-0.16,136.10,173
2024-08-20T11:44:15,997.00,28.21,-0.16,136.10,174
2024-08-20T11:44:16,997.00,28.21,-0.16,136.10,175
2024-08-20T11:44:17,997.00,28.21,-0.16,136.10,176
2024-08-20T11:44:18,997.00,28.21,-0.16,136.10,177
2024-08-20T11:44:19,997.00,28.22,-0.16,136.10,178
2024-08-20T11:44:20,997.00,28.22,-0.16,136.10,179
2024-08-20T11:44:21,997.00,28.21,-0.16,136.10,180
2024-08-20T11:44:22,996.00,28.22,-0.17,144.53,181
2024-08-20T11:44:23,997.00,28.22,-0.16,136.10,182
2024-08-20T11:44:24,997.00,28.22,-0.16,136.10,183
2024-08-20T11:44:25,997.00,28.23,-0.16,136.10,184
2024-08-20T11:44:26,997.00,28.23,-0.16,136.10,185
2024-08-20T11:44:27,997.00,28.24,-0.16,136.10,186
2024-08-20T11:44:28,997.00,28.26,-0.16,136.10,187
2024-08-20T11:44:29,997.00,28.26,-0.16,136.10,188
2024-08-20T11:44:30,997.00,28.27,-0.16,136.10,189
2024-08-20T11:44:31,997.00,28.28,-0.16,136.10,190
2024-08-20T11:44:32,997.00,28.29,-0.16,136.10,191
2024-08-20T11:44:33,997.00,28.29,-0.16,136.10,192
2024-08-20T11:44:34,997.00,28.30,-0.16,136.10,193
2024-08-20T11:44:35,997.00,28.30,-0.16,136.10,194
2024-08-20T11:44:36,997.00,28.30,-0.16,136.10,195
2024-08-20T11:44:37,996.00,28.31,-0.17,144.53,196
2024-08-20T11:44:38,997.00,28.32,-0.16,136.10,197
2024-08-20T11:44:39,997.00,28.34,-0.16,136.10,198
2024-08-20T11:44:40,997.00,28.39,-0.16,136.10,199
2024-08-20T11:44:41,997.00,28.45,-0.16,136.10,200
2024-08-20T11:44:42,998.00,28.50,-0.15,127.67,201
2024-08-20T11:44:43,997.00,28.55,-0.16,136.10,202
2024-08-20T11:44:44,998.00,28.58,-0.15,127.67,203
2024-08-20T11:44:45,997.00,28.60,-0.16,136.10,204
2024-08-20T11:44:46,998.00,28.62,-0.15,127.67,205
2024-08-20T11:44:47,998.00,28.63,-0.15,127.67,206
2024-08-20T11:44:48,998.00,28.64,-0.15,127.67,207
2024-08-20T11:44:49,998.00,28.64,-0.15,127.67,208
2024-08-20T11:44:50,998.00,28.64,-0.15,127.67,209
2024-08-20T11:44:51,997.00,28.64,-0.16,136.10,210
2024-08-20T11:44:52,998.00,28.63,-0.15,127.67,211
2024-08-20T11:44:53,998.00,28.63,-0.15,127.67,212
2024-08-20T11:44:54,998.00,28.62,-0.15,127.67,213
2024-08-20T11:44:55,998.00,28.62,-0.15,127.67,214
2024-08-20T11:44:56,998.00,28.61,-0.15,127.67,215
2024-08-20T11:44:57,998.00,28.61,-0.15,127.67,216
2024-08-20T11:44:58,997.00,28.60,-0.16,136.10,217
2024-08-20T11:44:59,998.00,28.59,-0.15,127.67,218
2024-08-20T11:45:00,998.00,28.59,-0.15,127.67,219
2024-08-20T11:45:01,997.00,28.59,-0.16,136.10,220
2024-08-20T11:45:02,998.00,28.58,-0.15,127.67,221
2024-08-20T11:45:03,998.00,28.58,-0.15,127.67,222
2024-08-20T11:45:04,998.00,28.57,-0.15,127.67,223
2024-08-20T11:45:05,998.00,28.57,-0.15,127.67,224
2024-08-20T11:45:06,997.00,28.56,-0.16,136.10,225
2024-08-20T11:45:07,998.00,28.56,-0.15,127.67,226
2024-08-20T11:45:08,998.00,28.56,-0.15,127.67,227
2024-08-20T11:45:09,998.00,28.56,-0.15,127.67,228
2024-08-20T11:45:10,998.00,28.55,-0.15,127.67,229
2024-08-20T11:45:11,997.00,28.55,-0.16,136.10,230
2024-08-20T11:45:12,998.00,28.55,-0.15,127.67,231
2024-08-20T11:45:13,998.00,28.55,-0.15,127.67,232
2024-08-20T11:45:14,998.00,28.54,-0.15,127.67,233
2024-08-20T11:45:15,997.00,28.54,-0.16,136.10,234
2024-08-20T11:45:16,998.00,28.55,-0.15,127.67,235
2024-08-20T11:45:17,997.00,28.54,-0.16,136.10,236
2024-08-20T11:45:18,998.00,28.55,-0.15,127.67,237
2024-08-20T11:45:19,998.00,28.55,-0.15,127.67,238
2024-08-20T11:45:20,998.00,28.56,-0.15,127.67,239
2024-08-20T11:45:21,997.00,28.56,-0.16,136.10,240
2024-08-20T11:45:22,998.00,28.56,-0.15,127.67,241
2024-08-20T11:45:23,998.00,28.56,-0.15,127.67,242
2024-08-20T11:45:24,998.00,28.56,-0.15,127.67,243
2024-08-20T11:45:25,997.00,28.56,-0.16,136.10,244
2024-08-20T11:45:26,997.00,28.56,-0.16,136.10,245
2024-08-20T11:45:27,997.00,28.56,-0.16,136.10,246
2024-08-20T11:45:28,998.00,28.56,-0.15,127.67,247
2024-08-20T11:45:29,998.00,28.57,-0.15,127.67,248
2024-08-20T11:45:30,998.00,28.57,-0.15,127.67,249
2024-08-20T11:45:31,997.00,28.57,-0.16,136.10,250
2024-08-20T11:45:32,997.00,28.57,-0.16,136.10,251
2024-08-20T11:45:33,998.00,28.58,-0.15,127.67,252
2024-08-20T11:45:34,998.00,28.57,-0.15,127.67,253
2024-08-20T11:45:35,998.00,28.58,-0.15,127.67,254
2024-08-20T11:45:37,998.00,28.59,-0.15,127.67,255
2024-08-20T11:45:38,998.00,28.59,-0.15,127.67,256
2024-08-20T11:45:39,998.00,28.59,-0.15,127.67,257
2024-08-20T11:45:40,998.00,28.60,-0.15,127.67,258
2024-08-20T11:45:41,998.00,28.60,-0.15,127.67,259
2024-08-20T11:45:42,998.00,28.60,-0.15,127.67,260
2024-08-20T11:45:43,998.00,28.60,-0.15,127.67,261
2024-08-20T11:45:44,998.00,28.60,-0.15,127.67,262
2024-08-20T11:45:45,997.00,28.61,-0.16,136.10,263
2024-08-20T11:45:46,998.00,28.61,-0.15,127.67,264
2024-08-20T11:45:47,998.00,28.61,-0.15,127.67,265
2024-08-20T11:45:48,998.00,28.60,-0.15,127.67,266
2024-08-20T11:45:49,998.00,28.60,-0.15,127.67,267
2024-08-20T11:45:50,998.00,28.61,-0.15,127.67,268
2024-08-20T11:45:51,998.00,28.61,-0.15,127.67,269
2024-08-20T11:45:52,998.00,28.61,-0.15,127.67,270
2024-08-20T11:45:53,998.00,28.60,-0.15,127.67,271
2024-08-20T11:45:54,998.00,28.60,-0.15,127.67,272
2024-08-20T11:45:55,998.00,28.60,-0.15,127.67,273
2024-08-20T11:45:56,998.00,28.60,-0.15,127.67,274
2024-08-20T11:45:57,998.00,28.60,-0.15,127.67,275
2024-08-20T11:45:58,998.00,28.60,-0.15,127.67,276
2024-08-20T11:45:59,998.00,28.60,-0.15,127.67,277
2024-08-20T11:46:00,998.00,28.60,-0.15,127.67,278
2024-08-20T11:46:01,998.00,28.60,-0.15,127.67,279
2024-08-20T11:46:02,998.00,28.60,-0.15,127.67,280
2024-08-20T11:46:03,998.00,28.60,-0.15,127.67,281
2024-08-20T11:46:04,998.00,28.60,-0.15,127.67,282
2024-08-20T11:46:05,998.00,28.60,-0.15,127.67,283
2024-08-20T11:46:06,998.00,28.60,-0.15,127.67,284
2024-08-20T11:46:07,999.00,28.60,-0.14,119.25,285
2024-08-20T11:46:08,998.00,28.60,-0.15,127.67,286
2024-08-20T11:46:09,998.00,28.60,-0.15,127.67,287
2024-08-20T11:46:10,998.00,28.60,-0.15,127.67,288
2024-08-20T11:46:11,998.00,28.60,-0.15,127.67,289
2024-08-20T11:46:12,998.00,28.59,-0.15,127.67,290
2024-08-20T11:46:13,998.00,28.60,-0.15,127.67,291
2024-08-20T11:46:14,998.00,28.60,-0.15,127.67,292
2024-08-20T11:46:15,998.00,28.60,-0.15,127.67,293
2024-08-20T11:46:16,998.00,28.60,-0.15,127.67,294
2024-08-20T11:46:17,998.00,28.60,-0.15,127.67,295
2024-08-20T11:46:18,998.00,28.60,-0.15,127.67,296
2024-08-20T11:46:19,998.00,28.60,-0.15,127.67,297
2024-08-20T11:46:20,998.00,28.60,-0.15,127.67,298
2024-08-20T11:46:21,999.00,28.60,-0.14,119.25,299
2024-08-20T11:46:22,998.00,28.60,-0.15,127.67,300
2024-08-20T11:46:23,998.00,28.60,-0.15,127.67,301
2024-08-20T11:46:24,998.00,28.60,-0.15,127.67,302
2024-08-20T11:46:25,998.00,28.60,-0.15,127.67,303
2024-08-20T11:46:26,998.00,28.60,-0.15,127.67,304
2024-08-20T11:46:27,998.00,28.60,-0.15,127.67,305
2024-08-20T11:46:28,998.00,28.60,-0.15,127.67,306
2024-08-20T11:46:29,999.00,28.60,-0.14,119.25,307
2024-08-20T11:46:30,998.00,28.60,-0.15,127.67,308
2024-08-20T11:46:31,999.00,28.60,-0.14,119.25,309
2024-08-20T11:46:32,999.00,28.60,-0.14,119.25,310
2024-08-20T11:46:33,998.00,28.60,-0.15,127.67,311
2024-08-20T11:46:34,998.00,28.60,-0.15,127.67,312
2024-08-20T11:46:35,998.00,28.59,-0.15,127.67,313
2024-08-20T11:46:36,998.00,28.59,-0.15,127.67,314
2024-08-20T11:46:37,998.00,28.59,-0.15,127.67,315
2024-08-20T11:46:38,999.00,28.59,-0.14,119.25,316
2024-08-20T11:46:39,999.00,28.59,-0.14,119.25,317
2024-08-20T11:46:40,998.00,28.59,-0.15,127.67,318
2024-08-20T11:46:41,998.00,28.59,-0.15,127.67,319
2024-08-20T11:46:42,999.00,28.58,-0.14,119.25,320
2024-08-20T11:46:43,998.00,28.59,-0.15,127.67,321
2024-08-20T11:46:44,999.00,28.58,-0.14,119.25,322
2024-08-20T11:46:45,999.00,28.59,-0.14,119.25,323
2024-08-20T11:46:46,998.00,28.59,-0.15,127.67,324
2024-08-20T11:46:47,999.00,28.59,-0.14,119.25,325
2024-08-20T11:46:48,998.00,28.59,-0.15,127.67,326
2024-08-20T11:46:49,998.00,28.59,-0.15,127.67,327
2024-08-20T11:46:50,998.00,28.59,-0.15,127.67,328
2024-08-20T11:46:51,998.00,28.59,-0.15,127.67,329
2024-08-20T11:46:52,998.00,28.59,-0.15,127.67,330
2024-08-20T11:46:53,998.00,28.59,-0.15,127.67,331
2024-08-20T11:46:54,999.00,28.59,-0.14,119.25,332
2024-08-20T11:46:55,999.00,28.60,-0.14,119.25,333
2024-08-20T11:46:56,999.00,28.60,-0.14,119.25,334
2024-08-20T11:46:57,998.00,28.60,-0.15,127.67,335
2024-08-20T11:46:58,999.00,28.60,-0.14,119.25,336
2024-08-20T11:47:00,999.00,28.60,-0.14,119.25,337
2024-08-20T11:47:01,998.00,28.61,-0.15,127.67,338
2024-08-20T11:47:02,998.00,28.61,-0.15,127.67,339
2024-08-20T11:47:03,999.00,28.61,-0.14,119.25,340
2024-08-20T11:47:04,999.00,28.61,-0.14,119.25,341
2024-08-20T11:47:05,999.00,28.61,-0.14,119.25,342
2024-08-20T11:47:06,999.00,28.61,-0.14,119.25,343
2024-08-20T11:47:07,999.00,28.62,-0.14,119.25,344
2024-08-20T11:47:08,999.00,28.62,-0.14,119.25,345
2024-08-20T11:47:09,999.00,28.62,-0.14,119.25,346
2024-08-20T11:47:10,999.00,28.62,-0.14,119.25,347
2024-08-20T11:47:11,998.00,28.62,-0.15,127.67,348
2024-08-20T11:47:12,999.00,28.62,-0.14,119.25,349
2024-08-20T11:47:13,999.00,28.62,-0.14,119.25,350
2024-08-20T11:47:14,998.00,28.62,-0.15,127.67,351
2024-08-20T11:47:15,999.00,28.61,-0.14,119.25,352
2024-08-20T11:47:16,999.00,28.62,-0.14,119.25,353
2024-08-20T11:47:17,999.00,28.61,-0.14,119.25,354
2024-08-20T11:47:18,999.00,28.61,-0.14,119.25,355
2024-08-20T11:47:19,999.00,28.61,-0.14,119.25,356
2024-08-20T11:47:20,999.00,28.61,-0.14,119.25,357
2024-08-20T11:47:21,998.00,28.61,-0.15,127.67,358
2024-08-20T11:47:22,998.00,28.60,-0.15,127.67,359
2024-08-20T11:47:23,999.00,28.60,-0.14,119.25,360
2024-08-20T11:47:24,999.00,28.60,-0.14,119.25,361
2024-08-20T11:47:25,999.00,28.60,-0.14,119.25,362
2024-08-20T11:47:26,999.00,28.60,-0.14,119.25,363
2024-08-20T11:47:27,999.00,28.60,-0.14,119.25,364
2024-08-20T11:47:28,999.00,28.60,-0.14,119.25,365
2024-08-20T11:47:29,999.00,28.59,-0.14,119.25,366
2024-08-20T11:47:30,998.00,28.60,-0.15,127.67,367
2024-08-20T11:47:31,999.00,28.60,-0.14,119.25,368
2024-08-20T11:47:32,999.00,28.60,-0.14,119.25,369
2024-08-20T11:47:33,999.00,28.60,-0.14,119.25,370
2024-08-20T11:47:34,999.00,28.60,-0.14,119.25,371
2024-08-20T11:47:35,999.00,28.60,-0.14,119.25,372
2024-08-20T11:47:36,999.00,28.60,-0.14,119.25,373
2024-08-20T11:47:37,999.00,28.60,-0.14,119.25,374
2024-08-20T11:47:38,998.00,28.60,-0.15,127.67,375
2024-08-20T11:47:39,999.00,28.60,-0.14,119.25,376
2024-08-20T11:47:40,999.00,28.60,-0.14,119.25,377
2024-08-20T11:47:41,999.00,28.60,-0.14,119.25,378
2024-08-20T11:47:42,999.00,28.60,-0.14,119.25,379
2024-08-20T11:47:43,999.00,28.60,-0.14,119.25,380
2024-08-20T11:47:44,999.00,28.60,-0.14,119.25,381
2024-08-20T11:47:45,999.00,28.60,-0.14,119.25,382
2024-08-20T11:47:46,999.00,28.60,-0.14,119.25,383
2024-08-20T11:47:47,999.00,28.61,-0.14,119.25,384
2024-08-20T11:47:48,999.00,28.60,-0.14,119.25,385
2024-08-20T11:47:49,999.00,28.61,-0.14,119.25,386
2024-08-20T11:47:50,999.00,28.61,-0.14,119.25,387
2024-08-20T11:47:51,999.00,28.61,-0.14,119.25,388
2024-08-20T11:47:52,999.00,28.61,-0.14,119.25,389
2024-08-20T11:47:53,999.00,28.62,-0.14,119.25,390
2024-08-20T11:47:54,999.00,28.62,-0.14,119.25,391
2024-08-20T11:47:55,999.00,28.62,-0.14,119.25,392
2024-08-20T11:47:56,999.00,28.62,-0.14,119.25,393
2024-08-20T11:47:57,999.00,28.62,-0.14,119.25,394
2024-08-20T11:47:58,999.00,28.61,-0.14,119.25,395
2024-08-20T11:47:59,999.00,28.62,-0.14,119.25,396
2024-08-20T11:48:00,999.00,28.62,-0.14,119.25,397
2024-08-20T11:48:01,999.00,28.62,-0.14,119.25,398
2024-08-20T11:48:02,999.00,28.62,-0.14,119.25,399
2024-08-20T11:48:03,999.00,28.61,-0.14,119.25,400
2024-08-20T11:48:04,999.00,28.62,-0.14,119.25,401
2024-08-20T11:48:05,1000.00,28.62,-0.13,110.84,402
2024-08-20T11:48:06,999.00,28.62,-0.14,119.25,403
2024-08-20T11:48:07,999.00,28.62,-0.14,119.25,404
2024-08-20T11:48:08,999.00,28.62,-0.14,119.25,405
2024-08-20T11:48:09,1000.00,28.62,-0.13,110.84,406
2024-08-20T11:48:10,999.00,28.62,-0.14,119.25,407
2024-08-20T11:48:11,999.00,28.62,-0.14,119.25,408
2024-08-20T11:48:12,999.00,28.62,-0.14,119.25,409
2024-08-20T11:48:13,999.00,28.62,-0.14,119.25,410
2024-08-20T11:48:14,999.00,28.62,-0.14,119.25,411
2024-08-20T11:48:15,999.00,28.62,-0.14,119.25,412
2024-08-20T11:48:16,999.00,28.62,-0.14,119.25,413
2024-08-20T11:48:17,999.00,28.62,-0.14,119.25,414
2024-08-20T11:48:18,999.00,28.62,-0.14,119.25,415
2024-08-20T11:48:19,999.00,28.62,-0.14,119.25,416
2024-08-20T11:48:20,999.00,28.62,-0.14,119.25,417
2024-08-20T11:48:21,999.00,28.62,-0.14,119.25,418
2024-08-20T11:48:22,999.00,28.62,-0.14,119.25,419
2024-08-20T11:48:23,999.00,28.62,-0.14,119.25,420
2024-08-20T11:48:25,999.00,28.61,-0.14,119.25,421
2024-08-20T11:48:26,1000.00,28.62,-0.13,110.84,422
2024-08-20T11:48:27,999.00,28.62,-0.14,119.25,423
2024-08-20T11:48:28,999.00,28.62,-0.14,119.25,424
2024-08-20T11:48:29,1000.00,28.62,-0.13,110.84,425
2024-08-20T11:48:30,999.00,28.62,-0.14,119.25,426
2024-08-20T11:48:31,1000.00,28.62,-0.13,110.84,427
2024-08-20T11:48:32,1000.00,28.62,-0.13,110.84,428
2024-08-20T11:48:33,999.00,28.62,-0.14,119.25,429
2024-08-20T11:48:34,999.00,28.62,-0.14,119.25,430
2024-08-20T11:48:35,999.00,28.62,-0.14,119.25,431
2024-08-20T11:48:36,999.00,28.62,-0.14,119.25,432
2024-08-20T11:48:37,999.00,28.61,-0.14,119.25,433
