Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),
2024-10-06 7:40:05,1002,23.1,-0.11,94.03,76
2024-10-06 7:40:06,1001,23.11,-0.12,102.43,77
2024-10-06 7:40:07,1002,23.1,-0.11,94.03,78
2024-10-06 7:40:08,1002,23.11,-0.11,94.03,79
2024-10-06 7:40:09,1001,23.11,-0.12,102.43,80
2024-10-06 7:40:10,1001,23.11,-0.12,102.43,81
2024-10-06 7:40:11,1001,23.12,-0.12,102.43,82
2024-10-06 7:40:12,1002,23.11,-0.11,94.03,83
2024-10-06 7:40:13,1002,23.11,-0.11,94.03,84
2024-10-06 7:40:14,1001,23.11,-0.12,102.43,85
2024-10-06 7:40:15,1002,23.11,-0.11,94.03,86
2024-10-06 7:40:16,1001,23.1,-0.12,102.43,87
2024-10-06 7:40:17,1002,23.11,-0.11,94.03,88
2024-10-06 7:40:18,1001,23.09,-0.12,102.43,89
2024-10-06 7:40:19,1002,23.09,-0.11,94.03,90
2024-10-06 7:40:20,1002,23.1,-0.11,94.03,91
2024-10-06 7:40:21,1002,23.1,-0.11,94.03,92
2024-10-06 7:40:22,1001,23.1,-0.12,102.43,93
2024-10-06 7:40:23,1001,23.1,-0.12,102.43,94
2024-10-06 7:40:24,1002,23.11,-0.11,94.03,95
2024-10-06 7:40:25,1002,23.11,-0.11,94.03,96
2024-10-06 7:40:26,1002,23.1,-0.11,94.03,97
2024-10-06 7:40:27,1002,23.11,-0.11,94.03,98
2024-10-06 7:40:28,1001,23.12,-0.12,102.43,99
2024-10-06 7:40:29,1002,23.12,-0.11,94.03,100
2024-10-06 7:40:30,1001,23.11,-0.12,102.43,101
2024-10-06 7:40:31,1002,23.11,-0.11,94.03,102
2024-10-06 7:40:32,1002,23.12,-0.11,94.03,103
2024-10-06 7:40:33,1002,23.13,-0.11,94.03,104
2024-10-06 7:40:34,1002,23.13,-0.11,94.03,105
2024-10-06 7:40:35,1002,23.13,-0.11,94.03,106
2024-10-06 7:40:36,1002,23.14,-0.11,94.03,107
2024-10-06 7:40:37,1002,23.14,-0.11,94.03,108
2024-10-06 7:40:38,1002,23.15,-0.11,94.03,109
2024-10-06 7:40:39,1002,23.15,-0.11,94.03,110
2024-10-06 7:40:40,1001,23.16,-0.12,102.43,111
2024-10-06 7:40:41,1002,23.16,-0.11,94.03,112
2024-10-06 7:40:42,1001,23.17,-0.12,102.43,113
2024-10-06 7:40:43,1003,23.17,-0.1,85.64,114
2024-10-06 7:40:44,1002,23.18,-0.11,94.03,115
2024-10-06 7:40:45,1002,23.19,-0.11,94.03,116
2024-10-06 7:40:46,1002,23.2,-0.11,94.03,117
2024-10-06 7:40:47,1002,23.2,-0.11,94.03,118
2024-10-06 7:40:48,1002,23.21,-0.11,94.03,119
2024-10-06 7:40:49,1002,23.21,-0.11,94.03,120
2024-10-06 7:40:50,1002,23.22,-0.11,94.03,121
2024-10-06 7:40:51,1002,23.23,-0.11,94.03,122
2024-10-06 7:40:52,1002,23.24,-0.11,94.03,123
2024-10-06 7:40:53,1002,23.25,-0.11,94.03,124
2024-10-06 7:40:54,1002,23.26,-0.11,94.03,125
2024-10-06 7:40:55,1002,23.26,-0.11,94.03,126
2024-10-06 7:40:56,1002,23.27,-0.11,94.03,127
2024-10-06 7:40:57,1002,23.26,-0.11,94.03,128
2024-10-06 7:40:58,1002,23.26,-0.11,94.03,129
2024-10-06 7:40:59,1002,23.26,-0.11,94.03,130
2024-10-06 7:41:00,1002,23.27,-0.11,94.03,131
2024-10-06 7:41:01,1002,23.27,-0.11,94.03,132
2024-10-06 7:41:02,1002,23.27,-0.11,94.03,133
2024-10-06 7:41:03,1002,23.28,-0.11,94.03,134
2024-10-06 7:41:05,1002,23.27,-0.11,94.03,135
2024-10-06 7:41:06,1002,23.28,-0.11,94.03,136
2024-10-06 7:41:07,1002,23.27,-0.11,94.03,137
2024-10-06 7:41:08,1002,23.27,-0.11,94.03,138
2024-10-06 7:41:09,1003,23.27,-0.1,85.64,139
2024-10-06 7:41:10,1002,23.27,-0.11,94.03,140
2024-10-06 7:41:11,1002,23.27,-0.11,94.03,141
2024-10-06 7:41:12,1002,23.26,-0.11,94.03,142
2024-10-06 7:41:13,1002,23.27,-0.11,94.03,143
2024-10-06 7:41:14,1002,23.27,-0.11,94.03,144
2024-10-06 7:41:15,1002,23.27,-0.11,94.03,145
2024-10-06 7:41:16,1002,23.27,-0.11,94.03,146
2024-10-06 7:41:17,1002,23.27,-0.11,94.03,147
2024-10-06 7:41:18,1002,23.27,-0.11,94.03,148
2024-10-06 7:41:19,1002,23.27,-0.11,94.03,149
2024-10-06 7:41:20,1002,23.27,-0.11,94.03,150
2024-10-06 7:41:21,1002,23.28,-0.11,94.03,151
2024-10-06 7:41:22,1002,23.28,-0.11,94.03,152
2024-10-06 7:41:23,1002,23.28,-0.11,94.03,153
2024-10-06 7:41:24,997,23.29,-0.16,136.1,154
2024-10-06 7:41:25,1002,23.31,-0.11,94.03,155
2024-10-06 7:41:26,1002,23.32,-0.11,94.03,156
2024-10-06 7:41:27,1002,23.34,-0.11,94.03,157
2024-10-06 7:41:28,1002,23.36,-0.11,94.03,158
2024-10-06 7:41:29,1002,23.36,-0.11,94.03,159
2024-10-06 7:41:30,1002,23.36,-0.11,94.03,160
2024-10-06 7:41:31,1002,23.37,-0.11,94.03,161
2024-10-06 7:41:32,1002,23.37,-0.11,94.03,162
2024-10-06 7:41:33,1002,23.37,-0.11,94.03,163
2024-10-06 7:41:34,1002,23.36,-0.11,94.03,164
2024-10-06 7:41:35,1002,23.36,-0.11,94.03,165
2024-10-06 7:41:36,1002,23.36,-0.11,94.03,166
2024-10-06 7:41:37,1002,23.35,-0.11,94.03,167
2024-10-06 7:41:38,1002,23.35,-0.11,94.03,168
2024-10-06 7:41:39,1003,23.34,-0.1,85.64,169
2024-10-06 7:41:40,1002,23.35,-0.11,94.03,170
2024-10-06 7:41:41,1002,23.35,-0.11,94.03,171
2024-10-06 7:41:42,1002,23.35,-0.11,94.03,172
2024-10-06 7:41:43,1002,23.34,-0.11,94.03,173
2024-10-06 7:41:44,1001,23.34,-0.12,102.43,174
2024-10-06 7:41:45,1002,23.34,-0.11,94.03,175
2024-10-06 7:41:46,1002,23.34,-0.11,94.03,176
2024-10-06 7:41:47,1002,23.34,-0.11,94.03,177
2024-10-06 7:41:48,1002,23.34,-0.11,94.03,178
2024-10-06 7:41:49,1002,23.34,-0.11,94.03,179
2024-10-06 7:41:50,1002,23.34,-0.11,94.03,180
2024-10-06 7:41:51,1002,23.34,-0.11,94.03,181
2024-10-06 7:41:52,1002,23.34,-0.11,94.03,182
2024-10-06 7:41:53,1002,23.34,-0.11,94.03,183
2024-10-06 7:41:54,1002,23.34,-0.11,94.03,184
2024-10-06 7:41:55,1002,23.33,-0.11,94.03,185
2024-10-06 7:41:56,1002,23.33,-0.11,94.03,186
2024-10-06 7:41:57,1002,23.33,-0.11,94.03,187
2024-10-06 7:41:58,1002,23.33,-0.11,94.03,188
2024-10-06 7:41:59,1002,23.32,-0.11,94.03,189
2024-10-06 7:42:00,1002,23.32,-0.11,94.03,190
2024-10-06 7:42:01,1002,23.32,-0.11,94.03,191
2024-10-06 7:42:02,1002,23.32,-0.11,94.03,192
2024-10-06 7:42:03,1002,23.32,-0.11,94.03,193
2024-10-06 7:42:04,1002,23.32,-0.11,94.03,194
2024-10-06 7:42:05,1002,23.32,-0.11,94.03,195
2024-10-06 7:42:06,1002,23.32,-0.11,94.03,196
2024-10-06 7:42:07,1002,23.32,-0.11,94.03,197
2024-10-06 7:42:08,1002,23.32,-0.11,94.03,198
2024-10-06 7:42:09,1002,23.32,-0.11,94.03,199
2024-10-06 7:42:10,1002,23.32,-0.11,94.03,200
2024-10-06 7:42:11,1003,23.32,-0.1,85.64,201
2024-10-06 7:42:12,1002,23.32,-0.11,94.03,202
2024-10-06 7:42:13,1003,23.31,-0.1,85.64,203
2024-10-06 7:42:14,1002,23.31,-0.11,94.03,204
2024-10-06 7:42:15,1002,23.32,-0.11,94.03,205
2024-10-06 7:42:16,1003,23.31,-0.1,85.64,206
2024-10-06 7:42:17,1002,23.32,-0.11,94.03,207
2024-10-06 7:42:18,1002,23.32,-0.11,94.03,208
2024-10-06 7:42:19,1002,23.32,-0.11,94.03,209
2024-10-06 7:42:20,1002,23.33,-0.11,94.03,210
2024-10-06 7:42:21,1002,23.32,-0.11,94.03,211
2024-10-06 7:42:22,1002,23.31,-0.11,94.03,212
2024-10-06 7:42:23,1003,23.32,-0.1,85.64,213
2024-10-06 7:42:24,1002,23.33,-0.11,94.03,214
2024-10-06 7:42:25,1003,23.32,-0.1,85.64,215
2024-10-06 7:42:26,1002,23.32,-0.11,94.03,216
2024-10-06 7:42:27,1003,23.32,-0.1,85.64,217
2024-10-06 7:42:29,1002,23.33,-0.11,94.03,218
2024-10-06 7:42:30,1003,23.33,-0.1,85.64,219
2024-10-06 7:42:31,1003,23.33,-0.1,85.64,220
2024-10-06 7:42:32,1003,23.33,-0.1,85.64,221
2024-10-06 7:42:33,1003,23.32,-0.1,85.64,222
2024-10-06 7:42:34,1003,23.33,-0.1,85.64,223
2024-10-06 7:42:35,1003,23.33,-0.1,85.64,224
2024-10-06 7:42:36,1002,23.34,-0.11,94.03,225
2024-10-06 7:42:37,1002,23.35,-0.11,94.03,226
2024-10-06 7:42:38,1002,23.35,-0.11,94.03,227
2024-10-06 7:42:39,1003,23.36,-0.1,85.64,228
2024-10-06 7:42:40,1002,23.36,-0.11,94.03,229
2024-10-06 7:42:41,1002,23.36,-0.11,94.03,230
2024-10-06 7:42:42,1002,23.36,-0.11,94.03,231
2024-10-06 7:42:43,1003,23.36,-0.1,85.64,232
2024-10-06 7:42:44,1002,23.36,-0.11,94.03,233
2024-10-06 7:42:45,1003,23.37,-0.1,85.64,234
2024-10-06 7:42:46,1002,23.37,-0.11,94.03,235
2024-10-06 7:42:47,1003,23.37,-0.1,85.64,236
2024-10-06 7:42:48,1002,23.38,-0.11,94.03,237
2024-10-06 7:42:49,1002,23.39,-0.11,94.03,238
2024-10-06 7:42:50,1003,23.4,-0.1,85.64,239
2024-10-06 7:42:51,1003,23.4,-0.1,85.64,240
2024-10-06 7:42:52,1003,23.41,-0.1,85.64,241
2024-10-06 7:42:53,1003,23.41,-0.1,85.64,242
2024-10-06 7:42:54,1003,23.42,-0.1,85.64,243
2024-10-06 7:42:55,1002,23.42,-0.11,94.03,244
2024-10-06 7:42:56,1003,23.42,-0.1,85.64,245
2024-10-06 7:42:57,1003,23.42,-0.1,85.64,246
2024-10-06 7:42:58,1003,23.42,-0.1,85.64,247
2024-10-06 7:42:59,1003,23.43,-0.1,85.64,248
2024-10-06 7:43:00,1002,23.44,-0.11,94.03,249
2024-10-06 7:43:01,1003,23.44,-0.1,85.64,250
2024-10-06 7:43:02,1003,23.44,-0.1,85.64,251
2024-10-06 7:43:03,1002,23.44,-0.11,94.03,252
2024-10-06 7:43:04,1003,23.45,-0.1,85.64,253
2024-10-06 7:43:05,1002,23.45,-0.11,94.03,254
2024-10-06 7:43:06,1003,23.45,-0.1,85.64,255
2024-10-06 7:43:07,1003,23.45,-0.1,85.64,256
2024-10-06 7:43:08,1003,23.46,-0.1,85.64,257
2024-10-06 7:43:09,1002,23.46,-0.11,94.03,258
2024-10-06 7:43:10,1003,23.47,-0.1,85.64,259
2024-10-06 7:43:11,1003,23.46,-0.1,85.64,260
2024-10-06 7:43:12,1003,23.47,-0.1,85.64,261
2024-10-06 7:43:13,1003,23.47,-0.1,85.64,262
2024-10-06 7:43:14,1003,23.48,-0.1,85.64,263
2024-10-06 7:43:15,1003,23.48,-0.1,85.64,264
2024-10-06 7:43:16,1003,23.48,-0.1,85.64,265
2024-10-06 7:43:17,1002,23.49,-0.11,94.03,266
2024-10-06 7:43:18,1003,23.49,-0.1,85.64,267
2024-10-06 7:43:19,1003,23.49,-0.1,85.64,268
2024-10-06 7:43:20,1003,23.49,-0.1,85.64,269
2024-10-06 7:43:21,1003,23.49,-0.1,85.64,270
2024-10-06 7:43:22,1003,23.49,-0.1,85.64,271
2024-10-06 7:43:23,1003,23.5,-0.1,85.64,272
2024-10-06 7:43:24,1003,23.5,-0.1,85.64,273
2024-10-06 7:43:25,1003,23.5,-0.1,85.64,274
2024-10-06 7:43:26,1003,23.5,-0.1,85.64,275
2024-10-06 7:43:27,1003,23.5,-0.1,85.64,276
2024-10-06 7:43:28,1003,23.5,-0.1,85.64,277
2024-10-06 7:43:29,1003,23.5,-0.1,85.64,278
2024-10-06 7:43:30,1002,23.5,-0.11,94.03,279
2024-10-06 7:43:31,1003,23.5,-0.1,85.64,280
2024-10-06 7:43:32,1003,23.5,-0.1,85.64,281
2024-10-06 7:43:33,1004,23.5,-0.09,77.26,282
2024-10-06 7:43:34,1003,23.5,-0.1,85.64,283
2024-10-06 7:43:35,1003,23.5,-0.1,85.64,284
2024-10-06 7:43:36,1003,23.5,-0.1,85.64,285
2024-10-06 7:43:37,1003,23.5,-0.1,85.64,286
2024-10-06 7:43:38,1003,23.5,-0.1,85.64,287
2024-10-06 7:43:39,1003,23.5,-0.1,85.64,288
2024-10-06 7:43:40,1003,23.49,-0.1,85.64,289
2024-10-06 7:43:41,1003,23.51,-0.1,85.64,290
2024-10-06 7:43:42,1003,23.51,-0.1,85.64,291
2024-10-06 7:43:43,1004,23.51,-0.09,77.26,292
2024-10-06 7:43:44,1003,23.53,-0.1,85.64,293
2024-10-06 7:43:45,1003,23.53,-0.1,85.64,294
2024-10-06 7:43:46,1004,23.53,-0.09,77.26,295
2024-10-06 7:43:47,1003,23.53,-0.1,85.64,296
2024-10-06 7:43:48,1004,23.54,-0.09,77.26,297
2024-10-06 7:43:49,1004,23.54,-0.09,77.26,298
2024-10-06 7:43:50,1004,23.55,-0.09,77.26,299
2024-10-06 7:43:51,1003,23.55,-0.1,85.64,300
2024-10-06 7:43:53,1004,23.55,-0.09,77.26,301
2024-10-06 7:43:54,1004,23.55,-0.09,77.26,302
2024-10-06 7:43:55,1004,23.56,-0.09,77.26,303
2024-10-06 7:43:56,1003,23.56,-0.1,85.64,304
2024-10-06 7:43:57,1004,23.57,-0.09,77.26,305
2024-10-06 7:43:58,1004,23.56,-0.09,77.26,306
2024-10-06 7:43:59,1003,23.57,-0.1,85.64,307
2024-10-06 7:44:00,1004,23.57,-0.09,77.26,308
2024-10-06 7:44:01,1004,23.57,-0.09,77.26,309
2024-10-06 7:44:02,1003,23.57,-0.1,85.64,310
2024-10-06 7:44:03,1004,23.58,-0.09,77.26,311
2024-10-06 7:44:04,1004,23.58,-0.09,77.26,312
2024-10-06 7:44:05,1003,23.58,-0.1,85.64,313
2024-10-06 7:44:06,1004,23.59,-0.09,77.26,314
2024-10-06 7:44:07,1004,23.58,-0.09,77.26,315
2024-10-06 7:44:08,1003,23.59,-0.1,85.64,316
2024-10-06 7:44:09,1004,23.59,-0.09,77.26,317
2024-10-06 7:44:10,1004,23.59,-0.09,77.26,318
2024-10-06 7:44:11,1003,23.59,-0.1,85.64,319
2024-10-06 7:44:12,1003,23.58,-0.1,85.64,320
2024-10-06 7:44:13,1003,23.58,-0.1,85.64,321
2024-10-06 7:44:14,1004,23.58,-0.09,77.26,322
2024-10-06 7:44:15,1003,23.59,-0.1,85.64,323
2024-10-06 7:44:16,1003,23.58,-0.1,85.64,324
2024-10-06 7:44:17,1003,23.58,-0.1,85.64,325
2024-10-06 7:44:18,1003,23.59,-0.1,85.64,326
2024-10-06 7:44:19,1003,23.59,-0.1,85.64,327
2024-10-06 7:44:20,1003,23.59,-0.1,85.64,328
2024-10-06 7:44:21,1003,23.58,-0.1,85.64,329
2024-10-06 7:44:22,1004,23.58,-0.09,77.26,330
2024-10-06 7:44:23,1003,23.58,-0.1,85.64,331
2024-10-06 7:44:24,1003,23.58,-0.1,85.64,332
2024-10-06 7:44:25,1003,23.57,-0.1,85.64,333
2024-10-06 7:44:26,1003,23.57,-0.1,85.64,334
2024-10-06 7:44:27,1004,23.57,-0.09,77.26,335
2024-10-06 7:44:28,1003,23.57,-0.1,85.64,336
2024-10-06 7:44:29,1003,23.56,-0.1,85.64,337
2024-10-06 7:44:30,1003,23.56,-0.1,85.64,338
2024-10-06 7:44:31,1004,23.56,-0.09,77.26,339
2024-10-06 7:44:32,1004,23.57,-0.09,77.26,340
2024-10-06 7:44:33,1004,23.57,-0.09,77.26,341
2024-10-06 7:44:34,1003,23.57,-0.1,85.64,342
2024-10-06 7:44:35,1004,23.57,-0.09,77.26,343
2024-10-06 7:44:36,1003,23.56,-0.1,85.64,344
2024-10-06 7:44:37,1003,23.56,-0.1,85.64,345
2024-10-06 7:44:38,1004,23.56,-0.09,77.26,346
2024-10-06 7:44:39,1004,23.56,-0.09,77.26,347
2024-10-06 7:44:40,1004,23.56,-0.09,77.26,348
2024-10-06 7:44:41,1004,23.56,-0.09,77.26,349
2024-10-06 7:44:42,1004,23.56,-0.09,77.26,350
2024-10-06 7:44:43,1003,23.57,-0.1,85.64,351
2024-10-06 7:44:44,1004,23.55,-0.09,77.26,352
2024-10-06 7:44:45,1004,23.55,-0.09,77.26,353
2024-10-06 7:44:46,1004,23.55,-0.09,77.26,354
2024-10-06 7:44:47,1004,23.56,-0.09,77.26,355
2024-10-06 7:44:48,1004,23.56,-0.09,77.26,356
2024-10-06 7:44:49,1004,23.58,-0.09,77.26,357
2024-10-06 7:44:50,1004,23.58,-0.09,77.26,358
2024-10-06 7:44:51,1004,23.57,-0.09,77.26,359
2024-10-06 7:44:52,1003,23.57,-0.1,85.64,360
2024-10-06 7:44:53,1004,23.57,-0.09,77.26,361
2024-10-06 7:44:54,1004,23.57,-0.09,77.26,362
2024-10-06 7:44:55,1003,23.57,-0.1,85.64,363
2024-10-06 7:44:56,1003,23.57,-0.1,85.64,364
2024-10-06 7:44:57,1003,23.57,-0.1,85.64,365
2024-10-06 7:44:58,1004,23.57,-0.09,77.26,366
2024-10-06 7:44:59,1004,23.57,-0.09,77.26,367
2024-10-06 7:45:00,1004,23.57,-0.09,77.26,368
2024-10-06 7:45:01,1004,23.57,-0.09,77.26,369
2024-10-06 7:45:02,1004,23.58,-0.09,77.26,370
2024-10-06 7:45:03,1004,23.58,-0.09,77.26,371
2024-10-06 7:45:04,1004,23.58,-0.09,77.26,372
2024-10-06 7:45:05,1004,23.58,-0.09,77.26,373
2024-10-06 7:45:06,1004,23.58,-0.09,77.26,374
2024-10-06 7:45:07,1004,23.58,-0.09,77.26,375
2024-10-06 7:45:08,1004,23.58,-0.09,77.26,376
2024-10-06 7:45:09,1004,23.59,-0.09,77.26,377
2024-10-06 7:45:10,1004,23.59,-0.09,77.26,378
2024-10-06 7:45:11,1004,23.59,-0.09,77.26,379
2024-10-06 7:45:12,1004,23.59,-0.09,77.26,380
2024-10-06 7:45:13,1004,23.6,-0.09,77.26,381
2024-10-06 7:45:14,1004,23.6,-0.09,77.26,382
2024-10-06 7:45:15,1004,23.6,-0.09,77.26,383
2024-10-06 7:45:17,1004,23.6,-0.09,77.26,384
2024-10-06 7:45:18,1004,23.61,-0.09,77.26,385
2024-10-06 7:45:19,1004,23.61,-0.09,77.26,386
2024-10-06 7:45:20,1004,23.61,-0.09,77.26,387
2024-10-06 7:45:21,1004,23.61,-0.09,77.26,388
2024-10-06 7:45:22,1004,23.61,-0.09,77.26,389
2024-10-06 7:45:23,1004,23.61,-0.09,77.26,390
2024-10-06 7:45:24,1004,23.62,-0.09,77.26,391
2024-10-06 7:45:25,1004,23.62,-0.09,77.26,392
2024-10-06 7:45:26,1004,23.62,-0.09,77.26,393
2024-10-06 7:45:27,1004,23.62,-0.09,77.26,394
2024-10-06 7:45:28,1005,23.62,-0.08,68.88,395
2024-10-06 7:45:29,1004,23.62,-0.09,77.26,396
2024-10-06 7:45:30,1005,23.63,-0.08,68.88,397
2024-10-06 7:45:31,1004,23.62,-0.09,77.26,398
2024-10-06 7:45:32,1004,23.63,-0.09,77.26,399
2024-10-06 7:45:33,1004,23.63,-0.09,77.26,400
2024-10-06 7:45:34,1004,23.63,-0.09,77.26,401
2024-10-06 7:45:35,1004,23.62,-0.09,77.26,402
2024-10-06 7:45:36,1004,23.63,-0.09,77.26,403
2024-10-06 7:45:37,1004,23.63,-0.09,77.26,404
2024-10-06 7:45:38,1005,23.62,-0.08,68.88,405
2024-10-06 7:45:39,1004,23.62,-0.09,77.26,406
2024-10-06 7:45:40,1004,23.63,-0.09,77.26,407
2024-10-06 7:45:41,1004,23.62,-0.09,77.26,408
2024-10-06 7:45:42,1004,23.62,-0.09,77.26,409
2024-10-06 7:45:43,1004,23.63,-0.09,77.26,410
2024-10-06 7:45:44,1004,23.62,-0.09,77.26,411
2024-10-06 7:45:45,1004,23.62,-0.09,77.26,412
2024-10-06 7:45:46,1004,23.62,-0.09,77.26,413
2024-10-06 7:45:47,1004,23.62,-0.09,77.26,414
2024-10-06 7:45:48,1004,23.62,-0.09,77.26,415
2024-10-06 7:45:49,1004,23.62,-0.09,77.26,416
2024-10-06 7:45:50,1004,23.62,-0.09,77.26,417
2024-10-06 7:45:51,1004,23.62,-0.09,77.26,418
2024-10-06 7:45:52,1004,23.62,-0.09,77.26,419
2024-10-06 7:45:53,1005,23.62,-0.08,68.88,420
2024-10-06 7:45:54,1005,23.63,-0.08,68.88,421
2024-10-06 7:45:55,1005,23.63,-0.08,68.88,422
2024-10-06 7:45:56,1004,23.63,-0.09,77.26,423
2024-10-06 7:45:57,1005,23.64,-0.08,68.88,424
2024-10-06 7:45:58,1005,23.64,-0.08,68.88,425
2024-10-06 7:45:59,1005,23.64,-0.08,68.88,426
2024-10-06 7:46:00,1004,23.65,-0.09,77.26,427
2024-10-06 7:46:01,1004,23.65,-0.09,77.26,428
2024-10-06 7:46:02,1005,23.66,-0.08,68.88,429
2024-10-06 7:46:03,1004,23.66,-0.09,77.26,430
2024-10-06 7:46:04,1004,23.66,-0.09,77.26,431
2024-10-06 7:46:05,1004,23.67,-0.09,77.26,432
2024-10-06 7:46:06,1004,23.67,-0.09,77.26,433
2024-10-06 7:46:07,1005,23.68,-0.08,68.88,434
2024-10-06 7:46:08,1004,23.68,-0.09,77.26,435
2024-10-06 7:46:09,1005,23.68,-0.08,68.88,436
2024-10-06 7:46:10,1005,23.69,-0.08,68.88,437
2024-10-06 7:46:11,1004,23.69,-0.09,77.26,438
2024-10-06 7:46:12,1004,23.69,-0.09,77.26,439
2024-10-06 7:46:13,1005,23.7,-0.08,68.88,440
2024-10-06 7:46:14,1005,23.7,-0.08,68.88,441
2024-10-06 7:46:15,1005,23.7,-0.08,68.88,442
2024-10-06 7:46:16,1005,23.71,-0.08,68.88,443
2024-10-06 7:46:17,1005,23.71,-0.08,68.88,444
2024-10-06 7:46:18,1005,23.71,-0.08,68.88,445
2024-10-06 7:46:19,1005,23.71,-0.08,68.88,446
2024-10-06 7:46:20,1005,23.72,-0.08,68.88,447
2024-10-06 7:46:21,1005,23.72,-0.08,68.88,448
