Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),Timestamp(Sec),,,
2024-08-28 11:42:02,1002,31.9,-0.11,94.03,42,,,
2024-08-28 11:42:03,1003,31.9,-0.1,85.64,43,,,
2024-08-28 11:42:04,1002,31.89,-0.11,94.03,44,,,
2024-08-28 11:42:05,1003,31.89,-0.1,85.64,45,,,
2024-08-28 11:42:06,1003,31.88,-0.1,85.64,46,,,
2024-08-28 11:42:07,1002,31.87,-0.11,94.03,47,,,
2024-08-28 11:42:08,1002,31.86,-0.11,94.03,48,,,
2024-08-28 11:42:09,1002,31.86,-0.11,94.03,49,,,
2024-08-28 11:42:10,1002,31.85,-0.11,94.03,50,,,
2024-08-28 11:42:11,1002,31.85,-0.11,94.03,51,,,
2024-08-28 11:42:12,1002,31.84,-0.11,94.03,52,,,
2024-08-28 11:42:13,1002,31.83,-0.11,94.03,53,,,
2024-08-28 11:42:14,1002,31.84,-0.11,94.03,54,,,
2024-08-28 11:42:15,1002,31.83,-0.11,94.03,55,,,
2024-08-28 11:42:16,1002,31.81,-0.11,94.03,56,,,
2024-08-28 11:42:17,1002,31.8,-0.11,94.03,57,,,
2024-08-28 11:42:18,1003,31.78,-0.1,85.64,58,,,
2024-08-28 11:42:19,1002,31.76,-0.11,94.03,59,,,
2024-08-28 11:42:20,1002,31.75,-0.11,94.03,60,,,
2024-08-28 11:42:21,1003,31.74,-0.1,85.64,61,,,
2024-08-28 11:42:22,1002,31.73,-0.11,94.03,62,,,
2024-08-28 11:42:23,1003,31.72,-0.1,85.64,63,,,
2024-08-28 11:42:24,1002,31.72,-0.11,94.03,64,,,
2024-08-28 11:42:25,1002,31.71,-0.11,94.03,65,,,
2024-08-28 11:42:26,1002,31.7,-0.11,94.03,66,,,
2024-08-28 11:42:27,1002,31.69,-0.11,94.03,67,,,
2024-08-28 11:42:28,1002,31.68,-0.11,94.03,68,,,
2024-08-28 11:42:29,1002,31.67,-0.11,94.03,69,,,
2024-08-28 11:42:30,1002,31.67,-0.11,94.03,70,,,
2024-08-28 11:42:31,1002,31.66,-0.11,94.03,71,,,
2024-08-28 11:42:32,1002,31.65,-0.11,94.03,72,,,
2024-08-28 11:42:33,1002,31.64,-0.11,94.03,73,,,
2024-08-28 11:42:34,1002,31.64,-0.11,94.03,74,,,
2024-08-28 11:42:35,1002,31.64,-0.11,94.03,75,,,
2024-08-28 11:42:36,1002,31.63,-0.11,94.03,76,,,
2024-08-28 11:42:38,1002,31.62,-0.11,94.03,77,,,
2024-08-28 11:42:39,1002,31.61,-0.11,94.03,78,,,
2024-08-28 11:42:40,1002,31.6,-0.11,94.03,79,,,
2024-08-28 11:42:41,1002,31.59,-0.11,94.03,80,,,
2024-08-28 11:42:42,1002,31.58,-0.11,94.03,81,,,
2024-08-28 11:42:43,1002,31.58,-0.11,94.03,82,,,
2024-08-28 11:42:44,1002,31.57,-0.11,94.03,83,,,
2024-08-28 11:42:45,1002,31.56,-0.11,94.03,84,,,
2024-08-28 11:42:46,1002,31.55,-0.11,94.03,85,,,
2024-08-28 11:42:47,1002,31.55,-0.11,94.03,86,,,
2024-08-28 11:42:48,1002,31.54,-0.11,94.03,87,,,
2024-08-28 11:42:49,1002,31.54,-0.11,94.03,88,,,
2024-08-28 11:42:50,1002,31.54,-0.11,94.03,89,,,
2024-08-28 11:42:51,1002,31.54,-0.11,94.03,90,,,
2024-08-28 11:42:52,1002,31.54,-0.11,94.03,91,,,
2024-08-28 11:42:53,1001,31.54,-0.12,102.43,92,,,
2024-08-28 11:42:54,1002,31.54,-0.11,94.03,93,,,
2024-08-28 11:42:55,1003,31.54,-0.1,85.64,94,,,
2024-08-28 11:42:56,1001,31.54,-0.12,102.43,95,,,
2024-08-28 11:42:57,1002,31.54,-0.11,94.03,96,,,
2024-08-28 11:42:58,1002,31.54,-0.11,94.03,97,,,
2024-08-28 11:42:59,1002,31.54,-0.11,94.03,98,,,
2024-08-28 11:43:00,1001,31.55,-0.12,102.43,99,,,
2024-08-28 11:43:01,1002,31.55,-0.11,94.03,100,,,
2024-08-28 11:43:02,1002,31.55,-0.11,94.03,101,,,
2024-08-28 11:43:03,1002,31.56,-0.11,94.03,102,,,
2024-08-28 11:43:04,1002,31.56,-0.11,94.03,103,,,
2024-08-28 11:43:05,1002,31.56,-0.11,94.03,104,,,
2024-08-28 11:43:06,1002,31.57,-0.11,94.03,105,,,
2024-08-28 11:43:07,1002,31.57,-0.11,94.03,106,,,
2024-08-28 11:43:08,1002,31.58,-0.11,94.03,107,,,
2024-08-28 11:43:09,1002,31.58,-0.11,94.03,108,,,
2024-08-28 11:43:10,1002,31.59,-0.11,94.03,109,,,
2024-08-28 11:43:11,1002,31.59,-0.11,94.03,110,,,
2024-08-28 11:43:12,1002,31.59,-0.11,94.03,111,,,
2024-08-28 11:43:13,1002,31.6,-0.11,94.03,112,,,
2024-08-28 11:43:14,1002,31.6,-0.11,94.03,113,,,
2024-08-28 11:43:15,1002,31.6,-0.11,94.03,114,,,
2024-08-28 11:43:16,1002,31.6,-0.11,94.03,115,,,
2024-08-28 11:43:17,1002,31.6,-0.11,94.03,116,,,
2024-08-28 11:43:18,1002,31.61,-0.11,94.03,117,,,
2024-08-28 11:43:19,1002,31.61,-0.11,94.03,118,,,
2024-08-28 11:43:20,1003,31.61,-0.1,85.64,119,,,
2024-08-28 11:43:21,1002,31.62,-0.11,94.03,120,,,
2024-08-28 11:43:22,1002,31.62,-0.11,94.03,121,,,
2024-08-28 11:43:23,1002,31.62,-0.11,94.03,122,,,
2024-08-28 11:43:24,1002,31.62,-0.11,94.03,123,,,
2024-08-28 11:43:25,1002,31.63,-0.11,94.03,124,,,
2024-08-28 11:43:26,1002,31.63,-0.11,94.03,125,,,
2024-08-28 11:43:27,1002,31.63,-0.11,94.03,126,,,
2024-08-28 11:43:28,1003,31.64,-0.1,85.64,127,,,
2024-08-28 11:43:29,1003,31.64,-0.1,85.64,128,,,
2024-08-28 11:43:30,1002,31.64,-0.11,94.03,129,,,
2024-08-28 11:43:31,1002,31.65,-0.11,94.03,130,,,
2024-08-28 11:43:32,1003,31.65,-0.1,85.64,131,,,
2024-08-28 11:43:33,1002,31.65,-0.11,94.03,132,,,
2024-08-28 11:43:34,1002,31.66,-0.11,94.03,133,,,
2024-08-28 11:43:35,1002,31.66,-0.11,94.03,134,,,
2024-08-28 11:43:36,1002,31.66,-0.11,94.03,135,,,
2024-08-28 11:43:37,1003,31.66,-0.1,85.64,136,,,
2024-08-28 11:43:39,1002,31.67,-0.11,94.03,137,,,
2024-08-28 11:43:40,1002,31.67,-0.11,94.03,138,,,
2024-08-28 11:43:41,1003,31.68,-0.1,85.64,139,,,
2024-08-28 11:43:42,1002,31.68,-0.11,94.03,140,,,
2024-08-28 11:43:43,1003,31.68,-0.1,85.64,141,,,
2024-08-28 11:43:44,1003,31.69,-0.1,85.64,142,,,
2024-08-28 11:43:45,1002,31.69,-0.11,94.03,143,,,
2024-08-28 11:43:46,1002,31.69,-0.11,94.03,144,,,
2024-08-28 11:43:47,1002,31.69,-0.11,94.03,145,,,
2024-08-28 11:43:48,1002,31.7,-0.11,94.03,146,,,
2024-08-28 11:43:49,1002,31.7,-0.11,94.03,147,,,
2024-08-28 11:43:50,1003,31.71,-0.1,85.64,148,,,
2024-08-28 11:43:51,1002,31.71,-0.11,94.03,149,,,
2024-08-28 11:43:52,1002,31.71,-0.11,94.03,150,,,
2024-08-28 11:43:53,1003,31.71,-0.1,85.64,151,,,
2024-08-28 11:43:54,1002,31.72,-0.11,94.03,152,,,
2024-08-28 11:43:55,1003,31.72,-0.1,85.64,153,,,
2024-08-28 11:43:56,1003,31.72,-0.1,85.64,154,,,
2024-08-28 11:43:57,1003,31.72,-0.1,85.64,155,,,
2024-08-28 11:43:58,1002,31.72,-0.11,94.03,156,,,
2024-08-28 11:43:59,1002,31.72,-0.11,94.03,157,,,
2024-08-28 11:44:00,1003,31.72,-0.1,85.64,158,,,
2024-08-28 11:44:01,1003,31.73,-0.1,85.64,159,,,
2024-08-28 11:44:02,1002,31.73,-0.11,94.03,160,,,
2024-08-28 11:44:03,1003,31.73,-0.1,85.64,161,,,
2024-08-28 11:44:04,1003,31.73,-0.1,85.64,162,,,
2024-08-28 11:44:05,1002,31.72,-0.11,94.03,163,,,
2024-08-28 11:44:06,1002,31.73,-0.11,94.03,164,,,
2024-08-28 11:44:07,1002,31.73,-0.11,94.03,165,,,
2024-08-28 11:44:08,1003,31.73,-0.1,85.64,166,,,
2024-08-28 11:44:09,1002,31.73,-0.11,94.03,167,,,
2024-08-28 11:44:10,1003,31.73,-0.1,85.64,168,,,
2024-08-28 11:44:11,1002,31.73,-0.11,94.03,169,,,
2024-08-28 11:44:12,1002,31.73,-0.11,94.03,170,,,
2024-08-28 11:44:13,1003,31.73,-0.1,85.64,171,,,
2024-08-28 11:44:14,1002,31.74,-0.11,94.03,172,,,
2024-08-28 11:44:15,1003,31.74,-0.1,85.64,173,,,
2024-08-28 11:44:16,1003,31.74,-0.1,85.64,174,,,
2024-08-28 11:44:17,1002,31.74,-0.11,94.03,175,,,
2024-08-28 11:44:18,1003,31.73,-0.1,85.64,176,,,
2024-08-28 11:44:19,1002,31.74,-0.11,94.03,177,,,
2024-08-28 11:44:20,1003,31.74,-0.1,85.64,178,,,
2024-08-28 11:44:21,1003,31.74,-0.1,85.64,179,,,
2024-08-28 11:44:22,1003,31.74,-0.1,85.64,180,,,
2024-08-28 11:44:23,1003,31.74,-0.1,85.64,181,,,
2024-08-28 11:44:24,1002,31.74,-0.11,94.03,182,,,
2024-08-28 11:44:25,1002,31.74,-0.11,94.03,183,,,
2024-08-28 11:44:26,1003,31.74,-0.1,85.64,184,,,
2024-08-28 11:44:27,1003,31.74,-0.1,85.64,185,,,
2024-08-28 11:44:28,1003,31.74,-0.1,85.64,186,,,
2024-08-28 11:44:29,1003,31.73,-0.1,85.64,187,,,
2024-08-28 11:44:30,1003,31.73,-0.1,85.64,188,,,
2024-08-28 11:44:31,1003,31.73,-0.1,85.64,189,,,
2024-08-28 11:44:32,1003,31.72,-0.1,85.64,190,,,
2024-08-28 11:44:33,1003,31.72,-0.1,85.64,191,,,
2024-08-28 11:44:34,1003,31.72,-0.1,85.64,192,,,
2024-08-28 11:44:35,1003,31.72,-0.1,85.64,193,,,
2024-08-28 11:44:36,1002,31.72,-0.11,94.03,194,,,
2024-08-28 11:44:37,1003,31.72,-0.1,85.64,195,,,
2024-08-28 11:44:38,1003,31.72,-0.1,85.64,196,,,
2024-08-28 11:44:39,1003,31.72,-0.1,85.64,197,,,
2024-08-28 11:44:41,1003,31.72,-0.1,85.64,198,,,
2024-08-28 11:44:42,1003,31.72,-0.1,85.64,199,,,
2024-08-28 11:44:43,1002,31.72,-0.11,94.03,200,,,
2024-08-28 11:44:44,1003,31.73,-0.1,85.64,201,,,
2024-08-28 11:44:45,1003,31.73,-0.1,85.64,202,,,
2024-08-28 11:44:46,1003,31.73,-0.1,85.64,203,,,
2024-08-28 11:44:47,1003,31.73,-0.1,85.64,204,,,
2024-08-28 11:44:48,1003,31.74,-0.1,85.64,205,,,
2024-08-28 11:44:49,1003,31.74,-0.1,85.64,206,,,
2024-08-28 11:44:50,1003,31.74,-0.1,85.64,207,,,
2024-08-28 11:44:51,1003,31.74,-0.1,85.64,208,,,
2024-08-28 11:44:52,1003,31.74,-0.1,85.64,209,,,
2024-08-28 11:44:53,1003,31.74,-0.1,85.64,210,,,
2024-08-28 11:44:54,1003,31.74,-0.1,85.64,211,,,
2024-08-28 11:44:55,1003,31.75,-0.1,85.64,212,,,
2024-08-28 11:44:56,1003,31.75,-0.1,85.64,213,,,
2024-08-28 11:44:57,1003,31.74,-0.1,85.64,214,,,
2024-08-28 11:44:58,1002,31.75,-0.11,94.03,215,,,
2024-08-28 11:44:59,1003,31.75,-0.1,85.64,216,,,
2024-08-28 11:45:00,1003,31.75,-0.1,85.64,217,,,
2024-08-28 11:45:01,1003,31.75,-0.1,85.64,218,,,
2024-08-28 11:45:02,1003,31.75,-0.1,85.64,219,,,
2024-08-28 11:45:03,1003,31.75,-0.1,85.64,220,,,
2024-08-28 11:45:04,1003,31.76,-0.1,85.64,221,,,
2024-08-28 11:45:05,1003,31.76,-0.1,85.64,222,,,
2024-08-28 11:45:06,1003,31.76,-0.1,85.64,223,,,
2024-08-28 11:45:07,1003,31.76,-0.1,85.64,224,,,
2024-08-28 11:45:08,1003,31.76,-0.1,85.64,225,,,
2024-08-28 11:45:09,1003,31.77,-0.1,85.64,226,,,
2024-08-28 11:45:10,1003,31.77,-0.1,85.64,227,,,
2024-08-28 11:45:11,1003,31.78,-0.1,85.64,228,,,
2024-08-28 11:45:12,1003,31.77,-0.1,85.64,229,,,
2024-08-28 11:45:13,1003,31.79,-0.1,85.64,230,,,
2024-08-28 11:45:14,1003,31.79,-0.1,85.64,231,,,
2024-08-28 11:45:15,1003,31.79,-0.1,85.64,232,,,
2024-08-28 11:45:16,1003,31.78,-0.1,85.64,233,,,
2024-08-28 11:45:17,1003,31.78,-0.1,85.64,234,,,
2024-08-28 11:45:18,1003,31.78,-0.1,85.64,235,,,
2024-08-28 11:45:19,1003,31.78,-0.1,85.64,236,,,
2024-08-28 11:45:20,1002,31.79,-0.11,94.03,237,,,
2024-08-28 11:45:21,1003,31.79,-0.1,85.64,238,,,
2024-08-28 11:45:22,1003,31.79,-0.1,85.64,239,,,
2024-08-28 11:45:23,1003,31.8,-0.1,85.64,240,,,
2024-08-28 11:45:24,1003,31.8,-0.1,85.64,241,,,
2024-08-28 11:45:25,1003,31.81,-0.1,85.64,242,,,
2024-08-28 11:45:26,1003,31.81,-0.1,85.64,243,,,
2024-08-28 11:45:27,1004,31.8,-0.09,77.26,244,,,
2024-08-28 11:45:28,1003,31.81,-0.1,85.64,245,,,
2024-08-28 11:45:29,1003,31.83,-0.1,85.64,246,,,
2024-08-28 11:45:30,1002,31.84,-0.11,94.03,247,,,
2024-08-28 11:45:31,1002,31.85,-0.11,94.03,248,,,
2024-08-28 11:45:32,1001,31.87,-0.12,102.43,249,,,
2024-08-28 11:45:33,1001,31.89,-0.12,102.43,250,,,
2024-08-28 11:45:34,1001,31.91,-0.12,102.43,251,,,
2024-08-28 11:45:35,1001,31.93,-0.12,102.43,252,,,
2024-08-28 11:45:36,1002,31.95,-0.11,94.03,253,,,
2024-08-28 11:45:37,1002,31.97,-0.11,94.03,254,,,
2024-08-28 11:45:38,1001,31.99,-0.12,102.43,255,,,
2024-08-28 11:45:39,1002,32.01,-0.11,94.03,256,,,
2024-08-28 11:45:40,1002,32.03,-0.11,94.03,257,,,
2024-08-28 11:45:42,1003,32.04,-0.1,85.64,258,,,
2024-08-28 11:45:43,1003,32.05,-0.1,85.64,259,,,
2024-08-28 11:45:44,1003,32.07,-0.1,85.64,260,,,
2024-08-28 11:45:45,1003,32.1,-0.1,85.64,261,,,
2024-08-28 11:45:46,1003,32.12,-0.1,85.64,262,,,
2024-08-28 11:45:47,1003,32.15,-0.1,85.64,263,,,
2024-08-28 11:45:48,1004,32.16,-0.09,77.26,264,,,
2024-08-28 11:45:49,1004,32.17,-0.09,77.26,265,,,
2024-08-28 11:45:50,1005,32.19,-0.08,68.88,266,,,
2024-08-28 11:45:51,1004,32.21,-0.09,77.26,267,,,
2024-08-28 11:45:52,1005,32.23,-0.08,68.88,268,,,
2024-08-28 11:45:53,1004,32.25,-0.09,77.26,269,,,
2024-08-28 11:45:54,1005,32.27,-0.08,68.88,270,,,
2024-08-28 11:45:55,1005,32.29,-0.08,68.88,271,,,
2024-08-28 11:45:56,1005,32.32,-0.08,68.88,272,,,
2024-08-28 11:45:57,1004,32.44,-0.09,77.26,273,,,
2024-08-28 11:45:58,1004,32.44,-0.09,77.26,274,,,
2024-08-28 11:45:59,1004,32.42,-0.09,77.26,275,,,
2024-08-28 11:46:00,1004,32.41,-0.09,77.26,276,,,
2024-08-28 11:46:01,1004,32.4,-0.09,77.26,277,,,
2024-08-28 11:46:02,1004,32.38,-0.09,77.26,278,,,
2024-08-28 11:46:03,1005,32.37,-0.08,68.88,279,,,
2024-08-28 11:46:04,1004,32.35,-0.09,77.26,280,,,
2024-08-28 11:46:05,1004,32.34,-0.09,77.26,281,,,
2024-08-28 11:46:06,1004,32.32,-0.09,77.26,282,,,
2024-08-28 11:46:07,1004,32.31,-0.09,77.26,283,,,
2024-08-28 11:46:08,1004,32.29,-0.09,77.26,284,,,
2024-08-28 11:46:09,1004,32.28,-0.09,77.26,285,,,
2024-08-28 11:46:10,1004,32.27,-0.09,77.26,286,,,
2024-08-28 11:46:11,1004,32.25,-0.09,77.26,287,,,
2024-08-28 11:46:12,1005,32.23,-0.08,68.88,288,,,
2024-08-28 11:46:13,1007,32.03,-0.06,52.14,289,,,
2024-08-28 11:46:14,1009,31.59,-0.04,35.43,290,,,
2024-08-28 11:46:15,1017,31.03,0.04,-31.16,291,,,
2024-08-28 11:46:16,1031,30.43,0.18,-146.66,292,,,
2024-08-28 11:46:17,1066,29.82,0.54,-429.95,293,,,
2024-08-28 11:46:18,1089,29.23,0.78,-612.04,294,,,
2024-08-28 11:46:19,1106,28.69,0.95,-744.64,295,,,
2024-08-28 11:46:20,1127,28.22,1.17,-906.17,296,,,
2024-08-28 11:46:21,1149,27.79,1.39,-1072.81,297,,,
2024-08-28 11:46:22,1171,27.41,1.62,-1236.88,298,,,
2024-08-28 11:46:23,1193,27.05,1.84,-1398.48,299,,,
2024-08-28 11:46:24,1215,26.73,2.07,-1557.68,300,,,
2024-08-28 11:46:25,1238,26.44,2.3,-1721.64,301,,,
2024-08-28 11:46:26,1260,26.18,2.53,-1876.17,302,,,
2024-08-28 11:46:27,1283,25.94,2.76,-2035.42,303,,,
2024-08-28 11:46:28,1306,25.74,3,-2192.36,304,,,
2024-08-28 11:46:29,1330,25.55,3.24,-2353.77,305,,,
2024-08-28 11:46:30,1355,25.39,3.5,-2519.41,306,,,
2024-08-28 11:46:31,1381,25.24,3.76,-2689.07,307,,,
2024-08-28 11:46:32,1405,25.11,4.01,-2843.4,308,,,
2024-08-28 11:46:33,1428,24.98,4.24,-2989.32,309,,,
2024-08-28 11:46:34,1452,24.86,4.49,-3139.55,310,,,
2024-08-28 11:46:35,1474,24.76,4.72,-3275.52,311,,,
2024-08-28 11:46:36,1497,24.66,4.95,-3415.92,312,,,
2024-08-28 11:46:37,1518,24.57,5.17,-3542.58,313,,,
2024-08-28 11:46:38,1540,24.48,5.39,-3673.78,314,,,
2024-08-28 11:46:39,1563,24.41,5.63,-3809.32,315,,,
2024-08-28 11:46:40,1586,24.34,5.86,-3943.25,316,,,
2024-08-28 11:46:41,1610,24.28,6.11,-4081.35,317,,,
2024-08-28 11:46:42,1635,24.22,6.36,-4223.44,318,,,
2024-08-28 11:46:44,1659,24.16,6.61,-4358.19,319,,,
2024-08-28 11:46:45,1683,24.11,6.85,-4491.38,320,,,
2024-08-28 11:46:46,1710,24.06,7.13,-4639.39,321,,,
2024-08-28 11:46:47,1743,24.02,7.47,-4817.74,322,,,
2024-08-28 11:46:48,1775,23.97,7.79,-4988.09,323,,,
2024-08-28 11:46:49,1810,23.92,8.15,-5171.6,324,,,
2024-08-28 11:46:50,1846,23.88,8.52,-5357.37,325,,,
2024-08-28 11:46:51,1882,23.84,8.89,-5540.23,326,,,
2024-08-28 11:46:52,1922,23.8,9.3,-5740.12,327,,,
2024-08-28 11:46:53,1961,23.77,9.7,-5931.79,328,,,
2024-08-28 11:46:54,2000,23.72,10.09,-6120.4,329,,,
2024-08-28 11:46:55,2039,23.61,10.49,-6306.06,330,,,
2024-08-28 11:46:56,2078,23.43,10.89,-6488.86,331,,,
2024-08-28 11:46:57,2117,23.16,11.29,-6668.9,332,,,
2024-08-28 11:46:58,2155,22.83,11.68,-6841.77,333,,,
2024-08-28 11:46:59,2194,22.45,12.08,-7016.63,334,,,
2024-08-28 11:47:00,2233,22,12.48,-7188.99,335,,,
2024-08-28 11:47:01,2273,21.49,12.89,-7363.27,336,,,
2024-08-28 11:47:02,2312,20.93,13.29,-7530.81,337,,,
2024-08-28 11:47:03,2352,20.36,13.7,-7700.29,338,,,
2024-08-28 11:47:04,2390,19.79,14.08,-7859.14,339,,,
2024-08-28 11:47:05,2429,19.23,14.48,-8020.06,340,,,
2024-08-28 11:47:06,2469,18.68,14.89,-8182.95,341,,,
2024-08-28 11:47:07,2508,18.15,15.29,-8339.72,342,,,
2024-08-28 11:47:08,2546,17.65,15.68,-8490.58,343,,,
2024-08-28 11:47:09,2586,17.16,16.09,-8647.43,344,,,
2024-08-28 11:47:10,2625,16.68,16.49,-8798.48,345,,,
2024-08-28 11:47:11,2664,16.21,16.89,-8947.72,346,,,
2024-08-28 11:47:12,2701,15.74,17.26,-9087.67,347,,,
2024-08-28 11:47:13,2740,15.3,17.66,-9233.53,348,,,
2024-08-28 11:47:14,2779,14.87,18.06,-9377.71,349,,,
2024-08-28 11:47:15,2818,14.47,18.46,-9520.27,350,,,
2024-08-28 11:47:16,2857,14.11,18.86,-9661.24,351,,,
2024-08-28 11:47:17,2896,13.75,19.26,-9800.65,352,,,
2024-08-28 11:47:18,2933,13.43,19.64,-9931.52,353,,,
2024-08-28 11:47:19,2971,13.11,20.03,-10064.54,354,,,
2024-08-28 11:47:20,3010,12.8,20.43,-10199.64,355,,,
2024-08-28 11:47:21,3048,12.52,20.81,-10329.91,356,,,
2024-08-28 11:47:22,3088,12.24,21.22,-10465.64,357,,,
2024-08-28 11:47:23,3126,11.97,21.61,-10593.25,358,,,
2024-08-28 11:47:24,3166,11.72,22.02,-10726.24,359,,,
2024-08-28 11:47:25,3204,11.48,22.41,-10851.33,360,,,
2024-08-28 11:47:26,3243,11.22,22.81,-10978.46,361,,,
2024-08-28 11:47:27,3282,11,23.21,-11104.36,362,,,
2024-08-28 11:47:28,3322,10.77,23.62,-11232.24,363,,,
2024-08-28 11:47:29,3360,10.54,24,-11352.58,364,,,
2024-08-28 11:47:30,3398,10.34,24.39,-11471.81,365,,,
2024-08-28 11:47:31,3437,10.14,24.79,-11593.07,366,,,
2024-08-28 11:47:32,3476,9.95,25.19,-11713.22,367,,,
2024-08-28 11:47:33,3513,9.77,25.57,-11826.2,368,,,
2024-08-28 11:47:34,3552,9.59,25.97,-11944.25,369,,,
2024-08-28 11:47:35,3589,9.44,26.35,-12055.28,370,,,
2024-08-28 11:47:36,3626,9.29,26.73,-12165.39,371,,,
2024-08-28 11:47:37,3666,9.12,27.13,-12283.41,372,,,
2024-08-28 11:47:38,3706,8.93,27.54,-12400.39,373,,,
2024-08-28 11:47:39,3745,8.77,27.94,-12513.46,374,,,
2024-08-28 11:47:40,3782,8.63,28.32,-12619.86,375,,,
2024-08-28 11:47:41,3820,8.48,28.71,-12728.26,376,,,
2024-08-28 11:47:42,3858,8.36,29.1,-12835.79,377,,,
2024-08-28 11:47:44,3897,8.24,29.5,-12945.27,378,,,
2024-08-28 11:47:45,3936,8.14,29.9,-13053.85,379,,,
2024-08-28 11:47:46,3973,8.06,30.27,-13156.07,380,,,
2024-08-28 11:47:47,4011,7.97,30.66,-13260.25,381,,,
2024-08-28 11:47:48,4050,7.89,31.06,-13366.34,382,,,
2024-08-28 11:47:49,4089,7.8,31.46,-13471.61,383,,,
2024-08-28 11:47:50,4126,7.72,31.84,-13570.74,384,,,
2024-08-28 11:47:51,4163,7.64,32.22,-13669.14,385,,,
2024-08-28 11:47:52,4201,7.56,32.61,-13769.47,386,,,
2024-08-28 11:47:53,4238,7.48,32.98,-13866.46,387,,,
2024-08-28 11:47:54,4277,7.41,33.38,-13967.95,388,,,
2024-08-28 11:47:55,4313,7.33,33.75,-14060.97,389,,,
2024-08-28 11:47:56,4350,7.25,34.13,-14155.92,390,,,
2024-08-28 11:47:57,4390,7.18,34.54,-14257.84,391,,,
2024-08-28 11:47:58,4429,7.11,34.94,-14356.49,392,,,
2024-08-28 11:47:59,4467,7.06,35.33,-14451.93,393,,,
2024-08-28 11:48:00,4504,6.99,35.71,-14544.24,394,,,
2024-08-28 11:48:01,4542,6.92,36.09,-14638.4,395,,,
2024-08-28 11:48:02,4581,6.86,36.49,-14734.37,396,,,
2024-08-28 11:48:03,4620,6.8,36.89,-14829.69,397,,,
2024-08-28 11:48:04,4656,6.74,37.26,-14917.1,398,,,
2024-08-28 11:48:05,4695,6.68,37.66,-15011.18,399,,,
2024-08-28 11:48:06,4733,6.61,38.05,-15102.24,400,,,
2024-08-28 11:48:07,4773,6.55,38.46,-15197.45,401,,,
2024-08-28 11:48:08,4811,6.49,38.85,-15287.31,402,,,
2024-08-28 11:48:09,4850,6.44,39.24,-15378.93,403,,,
2024-08-28 11:48:10,4889,6.38,39.64,-15469.97,404,,,
